Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,30.84000015258789,31.3700008392334,30.200000762939453,31.219999313354492,31.059804916381836,5734600
2022-10-04,32.04999923706055,33.31999969482422,32.04999923706055,33.189998626708984,33.01969528198242,7459700
2022-10-05,32.4900016784668,33.279998779296875,32.310001373291016,32.9900016784668,32.82072448730469,4884300
2022-10-06,32.91999816894531,33.220001220703125,32.400001525878906,32.540000915527344,32.3730354309082,4264300
2022-10-07,32.2599983215332,32.41999816894531,31.420000076293945,31.8700008392334,31.706472396850586,4428800
2022-10-10,31.850000381469727,32.290000915527344,31.6299991607666,31.65999984741211,31.497549057006836,4906600
2022-10-11,32.40999984741211,32.68000030517578,30.920000076293945,31.40999984741211,31.248830795288086,5624600
2022-10-12,31.15999984741211,31.780000686645508,31.010000228881836,31.59000015258789,31.427907943725586,4365500
2022-10-13,31.09000015258789,32.79999923706055,30.649999618530273,32.43000030517578,32.26359939575195,6616000
2022-10-14,32.959999084472656,33.310001373291016,32.290000915527344,32.7599983215332,32.59190368652344,5843000
2022-10-17,33.59000015258789,33.619998931884766,32.38999938964844,32.720001220703125,32.5521125793457,4665700
2022-10-18,33.380001068115234,33.619998931884766,32.97999954223633,33.310001373291016,33.13908386230469,4766200
2022-10-19,33.97999954223633,34.22999954223633,32.7599983215332,33.119998931884766,32.95005416870117,8804100
2022-10-20,33.439998626708984,33.689998626708984,32.790000915527344,32.810001373291016,32.64164733886719,4843600
2022-10-21,32.650001525878906,33.41999816894531,32.380001068115234,33.099998474121094,32.93015670776367,5450600
2022-10-24,33.279998779296875,33.81999969482422,32.970001220703125,33.720001220703125,33.54697799682617,5841100
2022-10-25,33.54999923706055,34.790000915527344,33.369998931884766,34.619998931884766,34.442359924316406,7783900
2022-10-26,34.599998474121094,35.33000183105469,34.310001373291016,34.369998931884766,34.193641662597656,9204500
2022-10-27,35.31999969482422,36.09000015258789,34.95000076293945,35.290000915527344,35.108924865722656,10819500
2022-10-28,35.58000183105469,36.33000183105469,34.970001220703125,36.22999954223633,36.044097900390625,7855100
2022-10-31,36.20000076293945,36.560001373291016,35.709999084472656,36.349998474121094,36.163482666015625,6316700
2022-11-01,36.84000015258789,37.09000015258789,36.54999923706055,36.939998626708984,36.75045394897461,5401700
2022-11-02,36.70000076293945,37.59000015258789,36.4900016784668,36.5,36.312713623046875,7322300
2022-11-03,35.959999084472656,37.25,35.47999954223633,36.959999084472656,36.77035140991211,5130500
2022-11-04,37.709999084472656,38.0,36.810001373291016,37.08000183105469,36.889739990234375,4658300
2022-11-07,37.310001373291016,37.70000076293945,36.790000915527344,37.400001525878906,37.20809555053711,5061200
2022-11-08,37.40999984741211,37.630001068115234,37.029998779296875,37.439998626708984,37.24789047241211,4413300
2022-11-09,37.09000015258789,37.7599983215332,36.91999816894531,37.20000076293945,37.009124755859375,3366200
2022-11-10,38.400001525878906,39.20000076293945,37.83000183105469,38.81999969482422,38.62080764770508,5576700
